file,label,sr,duration
169810__missozzy__female-scream-01_0.wav,Positive,44100,3.3979138321995466
169810__missozzy__female-scream-01_1.wav,Positive,44100,3.3979138321995466
319258__ramston__woman-screaming-of-fear.wav,Positive,16000,16.4666875
343916__reitanna__screaming-and-why.wav,Positive,16000,10.1314375
359154__horroraudio__muffled-female-cry.wav,Positive,48000,14.9179375
abuse_female_scream.wav,Positive,16000,3.7384375
abuse_female_screaming-and-why.wav,Positive,16000,10.1314375
damm_0.wav,Positive,48000,3.0
damm_1.wav,Positive,48000,3.0
damm_2.wav,Positive,48000,3.0
damm_3.wav,Positive,48000,3.0
damm_4.wav,Positive,48000,3.0
damm_5.wav,Positive,48000,3.0
damm_6.wav,Positive,48000,3.0
damm_7.wav,Positive,48000,3.0
femaleScream-002.wav,Positive,16000,3.5389375
femaleScream-004.wav,Positive,16000,5.8255
femaleScream-006.wav,Positive,16000,5.3355625
femaleScream-007.wav,Positive,16000,3.9893125
femaleScream-022.wav,Positive,16000,4.4408125
femaleScream-023.wav,Positive,16000,8.90775
femaleScream-027.wav,Positive,16000,8.7306875
femaleScream-028.wav,Positive,16000,6.083625
femaleScream-029.wav,Positive,16000,8.0805
femaleScream-032.wav,Positive,16000,13.873875
femaleScream-034.wav,Positive,16000,13.4671875
femaleScream-037.wav,Positive,16000,3.87075
femaleScream-051.wav,Positive,16000,5.472
femaleScream-055.wav,Positive,16000,3.866125
femaleScream-061.wav,Positive,16000,13.4791875
femaleScream-062.wav,Positive,16000,5.0155
femaleScream-064.wav,Positive,16000,4.5510625
femaleScream-065.wav,Positive,16000,13.3746875
femaleScream-069.wav,Positive,16000,4.63775
long_test_abuse_many_blanks.wav,Positive,16000,28.3331875
maleScream-002.wav,Positive,16000,3.620625
maleScream-004.wav,Positive,16000,4.4526875
maleScream-007.wav,Positive,16000,3.436125
maleScream-016.wav,Positive,16000,3.6961875
maleScream-021.wav,Positive,16000,3.7124375
maleScream-022.wav,Positive,16000,3.301375
maleScream-024.wav,Positive,16000,6.426125
maleScream-025.wav,Positive,16000,7.4449375
maleScream-026.wav,Positive,16000,3.2914375
maleScream-027.wav,Positive,16000,6.55675
maleScream-028.wav,Positive,16000,3.813875
maleScream-029.wav,Positive,16000,4.127375
maleScream-032.wav,Positive,16000,3.78775
maleScream-036.wav,Positive,16000,4.2720625
maleScream-037.wav,Positive,16000,3.8545
maleScream-038.wav,Positive,16000,4.226
maleScream-039.wav,Positive,16000,4.7368125
maleScream-046.wav,Positive,16000,3.3615625
maleScream-049.wav,Positive,16000,3.3529375
maleScream-056.wav,Positive,16000,3.5579375
maleScream-064.wav,Positive,16000,3.636
maleScream-065.wav,Positive,16000,3.015625
maleScream-067.wav,Positive,16000,4.5453125
maleScream-069.wav,Positive,16000,3.0563125
maleScream-070.wav,Positive,16000,3.1085625
maleScream-072.wav,Positive,16000,4.4146875
maleScream-082.wav,Positive,16000,4.3653125
Scream+25.wav,Positive,16000,3.7535625
Scream+26.wav,Positive,16000,3.294
scream_0.wav,Positive,44100,4.75
scream_1.wav,Positive,44100,5.174988662131519
scream_2.wav,Positive,44100,4.25
scream_3.wav,Positive,44100,4.05
scream_4.wav,Positive,44100,4.92501133786848
scream_p2_0.wav,Positive,48000,3.0
scream_p2_1.wav,Positive,48000,3.0
scream_p2_2.wav,Positive,48000,3.0
133034__robinhood76__03023-cartoon-little-laughter.wav,Negative,44100,7.04687074829932
clnsp0.wav,Negative,16000,11.02
clnsp1.wav,Negative,16000,11.322
clnsp10.wav,Negative,16000,14.63
clnsp100.wav,Negative,16000,12.646875
clnsp1000.wav,Negative,16000,14.69
clnsp1001.wav,Negative,16000,10.64
clnsp1002.wav,Negative,16000,12.28
clnsp1003.wav,Negative,16000,10.86
clnsp1004.wav,Negative,16000,12.36
clnsp1005.wav,Negative,16000,12.1
clnsp1006.wav,Negative,16000,10.46
clnsp1007.wav,Negative,16000,14.64
clnsp1008.wav,Negative,16000,11.23
clnsp1009.wav,Negative,16000,11.95
clnsp101.wav,Negative,16000,13.7
clnsp1010.wav,Negative,16000,10.01
clnsp1011.wav,Negative,16000,10.46
clnsp1012.wav,Negative,16000,10.89
clnsp1014.wav,Negative,16000,10.34
clnsp1015.wav,Negative,16000,10.15
clnsp1016.wav,Negative,16000,10.16
clnsp1017.wav,Negative,16000,14.27
clnsp1018.wav,Negative,16000,10.218
clnsp1019.wav,Negative,16000,11.67
clnsp102.wav,Negative,16000,12.78
clnsp1020.wav,Negative,16000,11.966
clnsp1021.wav,Negative,16000,11.57
clnsp1022.wav,Negative,16000,11.29
clnsp1023.wav,Negative,16000,10.82
clnsp1024.wav,Negative,16000,10.86
clnsp1025.wav,Negative,16000,14.90125
clnsp1028.wav,Negative,16000,11.34
clnsp1029.wav,Negative,16000,12.52
clnsp103.wav,Negative,16000,11.54
clnsp1031.wav,Negative,16000,11.97
clnsp1033.wav,Negative,16000,11.46
clnsp1034.wav,Negative,16000,13.56
clnsp1035.wav,Negative,16000,12.81
clnsp104.wav,Negative,16000,12.69
clnsp1040.wav,Negative,16000,10.16
clnsp1041.wav,Negative,16000,12.57
clnsp1044.wav,Negative,16000,10.7
clnsp1045.wav,Negative,16000,14.28
clnsp1046.wav,Negative,16000,10.23
clnsp1047.wav,Negative,16000,13.002
clnsp1048.wav,Negative,16000,14.33
clnsp1049.wav,Negative,16000,11.53
clnsp105.wav,Negative,16000,11.64
clnsp1051.wav,Negative,16000,10.39
clnsp1052.wav,Negative,16000,12.55
clnsp1053.wav,Negative,16000,12.99
clnsp1054.wav,Negative,16000,14.14
clnsp1055.wav,Negative,16000,12.93
clnsp1056.wav,Negative,16000,13.41
clnsp1057.wav,Negative,16000,11.48
clnsp1058.wav,Negative,16000,11.27
clnsp1059(1).wav,Negative,16000,10.59
clnsp1059.wav,Negative,16000,10.59
clnsp106.wav,Negative,16000,12.65
clnsp1060.wav,Negative,16000,10.6
clnsp1061.wav,Negative,16000,14.46
clnsp1062.wav,Negative,16000,11.42
clnsp1063.wav,Negative,16000,10.24
clnsp1065.wav,Negative,16000,11.29
clnsp1066.wav,Negative,16000,11.744
clnsp1067.wav,Negative,16000,10.47
clnsp1068.wav,Negative,16000,16.3
clnsp1069.wav,Negative,16000,12.13
clnsp107.wav,Negative,16000,11.77
clnsp1070.wav,Negative,16000,11.71
